process,pump_make,pump_model,pump_runtime_hrs,status
Diffusion,Edwards,E1000,20653.5,Failed
Etch,Edwards,E1000,13256.8,Failed
Etch,Edwards,E1000,22395.1,Failed
CVD,Edwards,E1000,12176.0,Failed
Diffusion,Edwards,E2000,2328.0,Failed
CVD,Busch,B1500,1608.7,Running
CVD,Busch,B2500,23760.4,Running
CVD,Busch,B500,19377.8,Failed
CVD,Edwards,E1000,2025.8,Running
CVD,Edwards,E1000,27809.8,Failed
Diffusion,Busch,B2500,41738.2,Failed
Etch,Busch,B2500,20253.4,Running
CVD,Busch,B2500,46842.9,Failed
Etch,Busch,B1500,42698.1,Running
Etch,Busch,B1500,37082.5,Running
Diffusion,Busch,B2500,41686.2,Running
Etch,Busch,B2500,28262.3,Running
CVD,Edwards,E2000,13554.3,Running
CVD,Edwards,E3000,1330.8,Failed
CVD,Busch,B2500,42687.6,Running
Diffusion,Edwards,E2000,4301.5,Running
CVD,Edwards,E1000,7201.0,Running
Etch,Edwards,E3000,860.5,Running
Etch,Busch,B2500,31345.4,Running
Etch,Edwards,E3000,5652.4,Failed
CVD,Edwards,E1000,7274.7,Failed
Etch,Busch,B1500,5931.7,Running
Etch,Edwards,E2000,37233.3,Running
Etch,Busch,B1500,22822.0,Failed
CVD,Busch,B1500,17527.5,Failed
Etch,Edwards,E1000,40441.3,Failed
Diffusion,Edwards,E2000,16387.7,Failed
CVD,Edwards,E1000,26984.8,Failed
Diffusion,Edwards,E3000,30485.2,Running
Etch,Edwards,E3000,10820.3,Failed
CVD,Edwards,E2000,7888.5,Failed
CVD,Busch,B1500,26044.2,Failed
Etch,Busch,B500,11217.7,Failed
Etch,Busch,B1500,23009.1,Failed
Etch,Busch,B1500,28151.5,Failed
CVD,Busch,B2500,37348.5,Running
CVD,Edwards,E2000,12777.5,Failed
CVD,Edwards,E1000,1719.6,Failed
Etch,Edwards,E2000,36330.7,Failed
Diffusion,Edwards,E2000,39736.0,Failed
Etch,Edwards,E3000,16014.9,Failed
Etch,Edwards,E1000,30704.1,Failed
CVD,Edwards,E1000,19752.9,Failed
Etch,Edwards,E3000,10730.4,Failed
CVD,Edwards,E1000,15564.4,Running
CVD,Busch,B1500,8385.7,Failed
Etch,Busch,B1500,15402.3,Running
Etch,Busch,B2500,32637.0,Running
Etch,Busch,B1500,6861.2,Running
CVD,Edwards,E1000,2383.1,Failed
CVD,Busch,B2500,45454.0,Failed
CVD,Edwards,E2000,27443.1,Failed
CVD,Edwards,E1000,35528.7,Failed
CVD,Edwards,E1000,11715.1,Failed
CVD,Busch,B1500,24292.7,Failed
CVD,Busch,B500,25221.6,Running
Diffusion,Edwards,E2000,16814.3,Failed
Etch,Busch,B1500,13690.5,Failed
CVD,Edwards,E1000,35761.3,Running
CVD,Edwards,E1000,4392.0,Running
Etch,Busch,B500,1804.5,Running
Diffusion,Busch,B2500,28672.2,Failed
Etch,Edwards,E3000,23990.5,Failed
Diffusion,Edwards,E2000,23302.3,Failed
Etch,Edwards,E3000,9269.4,Running
Etch,Busch,B500,43233.7,Failed
Etch,Busch,B2500,30259.6,Running
Diffusion,Edwards,E3000,34506.5,Running
CVD,Edwards,E1000,3104.9,Running
Etch,Busch,B1500,43269.7,Failed
Etch,Edwards,E1000,21308.4,Failed
CVD,Edwards,E1000,40530.7,Failed
CVD,Busch,B2500,46292.5,Running
Diffusion,Busch,B2500,50249.1,Running
CVD,Edwards,E1000,17274.9,Failed
CVD,Edwards,E3000,14068.3,Failed
Diffusion,Busch,B2500,8849.7,Failed
CVD,Edwards,E1000,9659.1,Failed
Etch,Edwards,E1000,33210.4,Failed
Etch,Busch,B2500,46052.3,Running
CVD,Edwards,E3000,11728.4,Failed
Etch,Busch,B2500,28537.5,Failed
Diffusion,Busch,B500,6691.4,Failed
Etch,Busch,B1500,40212.7,Failed
CVD,Busch,B2500,38003.5,Failed
Diffusion,Busch,B2500,31102.6,Running
Diffusion,Edwards,E3000,37942.9,Failed
Diffusion,Edwards,E2000,30280.9,Failed
Diffusion,Busch,B2500,63453.0,Failed
CVD,Busch,B2500,50655.2,Running
Etch,Edwards,E3000,2901.7,Running
Diffusion,Edwards,E2000,8206.6,Running
Etch,Busch,B1500,31886.5,Failed
Etch,Busch,B2500,25864.9,Failed
CVD,Edwards,E2000,25140.4,Failed
CVD,Busch,B500,28860.7,Running
Diffusion,Busch,B2500,23987.9,Running
Etch,Busch,B500,10493.2,Running
Diffusion,Edwards,E3000,19594.4,Failed
Etch,Busch,B2500,34842.4,Failed
CVD,Edwards,E1000,16426.5,Failed
Etch,Busch,B1500,10320.6,Failed
Etch,Edwards,E1000,12959.4,Running
Etch,Busch,B2500,44645.2,Running
Diffusion,Busch,B500,3017.5,Failed
Etch,Edwards,E1000,30094.4,Failed
Etch,Busch,B2500,26417.3,Running
Diffusion,Busch,B500,4203.5,Failed
CVD,Edwards,E1000,11768.8,Failed
Etch,Busch,B2500,41780.1,Failed
CVD,Edwards,E2000,40457.1,Failed
Etch,Busch,B500,1262.3,Failed
CVD,Busch,B1500,3670.4,Running
Diffusion,Edwards,E1000,27507.1,Running
Etch,Busch,B500,5843.0,Running
Diffusion,Edwards,E2000,26530.3,Failed
CVD,Edwards,E1000,38171.2,Failed
CVD,Busch,B500,22036.8,Running
Etch,Busch,B2500,36954.6,Failed
Etch,Edwards,E2000,22025.3,Running
Etch,Edwards,E3000,23623.2,Running
Diffusion,Busch,B500,5773.4,Failed
Etch,Busch,B2500,39056.4,Failed
Etch,Edwards,E2000,10049.7,Failed
CVD,Edwards,E2000,11656.7,Failed
Diffusion,Edwards,E3000,11002.1,Running
CVD,Edwards,E1000,23199.8,Failed
CVD,Edwards,E2000,19026.5,Running
Etch,Busch,B500,45454.1,Failed
Etch,Busch,B2500,7834.8,Running
Etch,Busch,B2500,21998.9,Failed
Etch,Busch,B500,5761.9,Failed
Etch,Busch,B2500,36293.3,Failed
Etch,Edwards,E2000,24799.2,Failed
Etch,Busch,B500,7608.8,Failed
CVD,Edwards,E1000,9930.8,Running
Diffusion,Edwards,E1000,27041.5,Failed
Etch,Edwards,E3000,20441.5,Failed
Etch,Edwards,E3000,16488.2,Failed
Diffusion,Busch,B2500,21172.4,Failed
Etch,Edwards,E1000,32700.6,Failed
Diffusion,Edwards,E1000,22961.7,Failed
Etch,Edwards,E3000,21944.2,Failed
CVD,Busch,B1500,41050.1,Failed
Etch,Edwards,E2000,39232.8,Failed
Diffusion,Edwards,E1000,25559.7,Failed
Diffusion,Busch,B2500,39826.8,Failed
Etch,Busch,B2500,27590.5,Running
Diffusion,Busch,B2500,26897.9,Failed
CVD,Edwards,E3000,1391.2,Failed
CVD,Edwards,E1000,4484.1,Running
Etch,Edwards,E1000,3560.9,Running
CVD,Busch,B2500,66519.0,Failed
Diffusion,Edwards,E3000,33423.2,Failed
Etch,Busch,B2500,14879.9,Failed
Etch,Busch,B1500,2125.1,Failed
CVD,Busch,B500,21323.8,Failed
Diffusion,Busch,B500,6870.8,Failed
Diffusion,Busch,B500,20395.4,Failed
CVD,Busch,B500,27456.1,Running
Etch,Busch,B500,4582.8,Running
Diffusion,Edwards,E3000,28450.3,Failed
CVD,Edwards,E1000,14369.7,Failed
Diffusion,Busch,B2500,19131.8,Failed
Diffusion,Edwards,E1000,17772.8,Failed
Diffusion,Edwards,E2000,22925.9,Failed
Etch,Busch,B1500,11521.6,Failed
Etch,Busch,B500,4772.7,Failed
CVD,Edwards,E2000,12754.7,Failed
Diffusion,Busch,B2500,20090.4,Running
Etch,Edwards,E1000,7493.0,Failed
Etch,Edwards,E2000,60060.6,Failed
Diffusion,Busch,B2500,39105.1,Running
Etch,Busch,B1500,609.8,Running
Diffusion,Busch,B2500,25268.8,Failed
Diffusion,Busch,B1500,24307.3,Failed
Diffusion,Edwards,E3000,42697.4,Running
Diffusion,Edwards,E2000,34702.0,Failed
Diffusion,Busch,B1500,5004.5,Running
Etch,Edwards,E3000,8691.0,Failed
CVD,Edwards,E2000,32205.7,Running
CVD,Busch,B2500,58282.2,Failed
Diffusion,Busch,B1500,18052.8,Failed
CVD,Edwards,E1000,1774.6,Failed
CVD,Busch,B1500,41800.0,Failed
Etch,Busch,B2500,30795.8,Running
Etch,Busch,B1500,27044.9,Failed
Etch,Busch,B1500,16414.3,Failed
Diffusion,Edwards,E3000,34670.0,Failed
CVD,Edwards,E3000,8033.0,Running
Etch,Edwards,E1000,8360.7,Running
Diffusion,Edwards,E3000,41204.8,Failed
CVD,Edwards,E3000,16387.8,Failed
Etch,Busch,B1500,19386.9,Failed
CVD,Edwards,E1000,55261.8,Running
Etch,Edwards,E2000,23934.1,Failed
CVD,Edwards,E1000,5494.7,Failed
Etch,Edwards,E1000,11142.1,Running
Etch,Busch,B500,4429.2,Failed
Etch,Busch,B500,3569.0,Running
Diffusion,Edwards,E2000,26095.8,Failed
CVD,Edwards,E1000,9053.3,Running
Etch,Edwards,E2000,30580.0,Failed
Diffusion,Edwards,E2000,26061.5,Failed
Etch,Edwards,E2000,18634.3,Failed
CVD,Busch,B1500,24583.3,Running
Etch,Edwards,E1000,19077.5,Failed
Diffusion,Busch,B2500,28029.7,Failed
Etch,Busch,B2500,13975.5,Failed
Diffusion,Edwards,E3000,33674.6,Failed
CVD,Edwards,E1000,2295.1,Running
CVD,Edwards,E2000,14546.3,Failed
Diffusion,Busch,B2500,25217.1,Failed
CVD,Edwards,E1000,42414.2,Running
Etch,Busch,B1500,17479.6,Running
CVD,Edwards,E1000,11109.9,Failed
Diffusion,Busch,B1500,12670.0,Failed
Etch,Edwards,E2000,33682.5,Failed
Etch,Busch,B1500,10431.3,Running
Diffusion,Edwards,E2000,18756.1,Failed
Etch,Edwards,E2000,8245.1,Running
Etch,Busch,B1500,19948.3,Running
CVD,Edwards,E2000,5328.6,Running
Etch,Busch,B500,2396.1,Failed
Etch,Busch,B2500,26876.3,Running
CVD,Busch,B500,32687.8,Running
Diffusion,Busch,B1500,9831.2,Failed
Diffusion,Edwards,E2000,2783.7,Running
CVD,Busch,B1500,4437.0,Failed
Etch,Busch,B1500,29471.8,Failed
Etch,Edwards,E1000,20404.8,Running
CVD,Edwards,E3000,16576.2,Running
Etch,Busch,B1500,20340.4,Failed
Etch,Busch,B500,34932.4,Running
Diffusion,Busch,B2500,25357.7,Failed
Diffusion,Edwards,E2000,46846.7,Failed
Diffusion,Edwards,E1000,13351.0,Failed
CVD,Edwards,E3000,6047.7,Failed
Diffusion,Edwards,E1000,17858.3,Failed
CVD,Edwards,E1000,9697.0,Failed
Etch,Edwards,E1000,39465.9,Failed
Etch,Edwards,E3000,2646.9,Running
CVD,Edwards,E2000,29663.2,Failed
CVD,Edwards,E1000,8382.5,Failed
Diffusion,Edwards,E1000,15170.5,Running
CVD,Edwards,E2000,14116.8,Running
Diffusion,Edwards,E1000,9909.6,Failed
Etch,Busch,B1500,20474.5,Failed
Etch,Busch,B2500,13427.9,Running
Diffusion,Busch,B2500,19426.8,Failed
CVD,Busch,B500,71859.2,Failed
CVD,Edwards,E2000,4654.6,Running
Etch,Busch,B500,45059.9,Failed
Etch,Busch,B500,5561.1,Failed
Etch,Edwards,E3000,47114.3,Failed
Diffusion,Edwards,E1000,38215.5,Failed
Diffusion,Edwards,E1000,18555.7,Running
CVD,Busch,B500,49537.8,Failed
Etch,Edwards,E3000,6337.4,Failed
Etch,Busch,B2500,25184.8,Failed
Etch,Busch,B1500,20567.1,Failed
Diffusion,Edwards,E1000,26310.8,Running
CVD,Edwards,E1000,27453.2,Failed
Diffusion,Edwards,E2000,15058.9,Running
Diffusion,Busch,B2500,16656.5,Failed
Etch,Edwards,E2000,15500.0,Running
CVD,Edwards,E3000,7922.8,Failed
Etch,Busch,B500,5575.8,Running
Etch,Busch,B1500,15440.3,Failed
CVD,Busch,B500,33340.1,Running
CVD,Edwards,E2000,30587.9,Running
Etch,Busch,B2500,9149.3,Running
Diffusion,Busch,B2500,29441.0,Running
CVD,Edwards,E1000,17638.6,Failed
Diffusion,Busch,B2500,17312.0,Failed
Diffusion,Busch,B1500,23943.3,Failed
Etch,Edwards,E1000,22659.4,Failed
Diffusion,Busch,B2500,24011.5,Running
CVD,Edwards,E2000,23063.3,Running
CVD,Edwards,E3000,868.5,Running
Diffusion,Edwards,E3000,34756.7,Running
CVD,Edwards,E2000,22095.7,Failed
Etch,Edwards,E3000,8944.3,Failed
CVD,Edwards,E3000,11771.0,Failed
Etch,Busch,B1500,3936.8,Running
Diffusion,Busch,B2500,66695.6,Failed
CVD,Busch,B1500,22098.1,Failed
Etch,Busch,B2500,49272.9,Failed
Etch,Edwards,E1000,15665.1,Failed
Etch,Busch,B1500,27078.2,Failed
CVD,Busch,B2500,38461.7,Failed
Diffusion,Edwards,E3000,12516.9,Failed
Etch,Edwards,E2000,32713.1,Running
Etch,Busch,B2500,45859.0,Running
Etch,Edwards,E1000,15168.8,Failed
Etch,Edwards,E1000,18491.4,Running
CVD,Edwards,E1000,25903.2,Running
Etch,Edwards,E3000,19045.7,Running
Etch,Edwards,E1000,17627.4,Running
Etch,Busch,B1500,4293.5,Running
Diffusion,Edwards,E1000,21733.5,Running
CVD,Edwards,E3000,892.0,Failed
Etch,Edwards,E1000,18300.2,Running
Etch,Busch,B1500,55941.5,Failed
CVD,Busch,B1500,35910.1,Failed
Etch,Busch,B1500,4174.8,Running
CVD,Edwards,E1000,12550.2,Failed
CVD,Busch,B500,51298.6,Failed
Etch,Edwards,E2000,12403.8,Running
CVD,Edwards,E1000,13839.0,Failed
Etch,Busch,B2500,25818.8,Failed
CVD,Busch,B2500,50164.0,Failed
Etch,Busch,B2500,11334.6,Failed
Etch,Edwards,E1000,24625.6,Failed
CVD,Edwards,E3000,4691.2,Failed
CVD,Edwards,E1000,6139.7,Running
Diffusion,Busch,B2500,27565.7,Failed
Diffusion,Edwards,E2000,45967.9,Failed
CVD,Busch,B1500,6258.3,Running
Etch,Busch,B2500,38659.9,Failed
CVD,Busch,B2500,53782.5,Running
CVD,Busch,B1500,11574.6,Failed
Diffusion,Edwards,E2000,1477.5,Running
Etch,Busch,B1500,19194.0,Failed
CVD,Edwards,E1000,232.5,Running
CVD,Busch,B500,43785.2,Running
Etch,Busch,B1500,24223.5,Failed
Etch,Busch,B1500,40203.6,Failed
CVD,Edwards,E2000,55054.0,Failed
Diffusion,Busch,B2500,10243.0,Failed
CVD,Edwards,E1000,10798.1,Running
CVD,Busch,B500,10543.8,Running
CVD,Busch,B1500,20446.8,Failed
CVD,Busch,B500,40508.6,Failed
CVD,Edwards,E2000,28382.6,Running
Etch,Edwards,E3000,6612.0,Running
Etch,Busch,B1500,22597.6,Running
Etch,Busch,B2500,40036.4,Failed
Etch,Edwards,E2000,25584.5,Failed
Diffusion,Edwards,E2000,2843.1,Running
Etch,Edwards,E1000,19529.2,Failed
Diffusion,Busch,B500,5441.5,Running
Diffusion,Edwards,E2000,44081.1,Failed
Diffusion,Edwards,E1000,20940.8,Running
CVD,Busch,B1500,16958.3,Running
Etch,Edwards,E3000,18691.9,Running
Diffusion,Edwards,E1000,28700.5,Failed
Diffusion,Edwards,E1000,19708.9,Failed
Etch,Edwards,E2000,36287.6,Failed
Diffusion,Busch,B2500,18938.2,Running
CVD,Edwards,E2000,25804.4,Failed
Diffusion,Busch,B2500,20825.6,Running
Etch,Edwards,E1000,6330.5,Failed
CVD,Edwards,E2000,8274.4,Failed
Diffusion,Edwards,E2000,21539.3,Running
CVD,Busch,B1500,911.9,Running
CVD,Edwards,E1000,31279.1,Failed
CVD,Edwards,E2000,21587.7,Running
Etch,Busch,B2500,28671.0,Running
Diffusion,Busch,B500,1765.5,Running
Diffusion,Busch,B2500,27240.2,Running
CVD,Busch,B1500,19775.1,Failed
CVD,Busch,B2500,51125.4,Running
Etch,Busch,B1500,36426.3,Failed
CVD,Edwards,E1000,22883.7,Failed
Diffusion,Busch,B500,13459.7,Failed
Etch,Busch,B1500,16367.6,Running
Etch,Busch,B2500,21353.5,Running
CVD,Busch,B2500,36342.6,Failed
Etch,Edwards,E2000,18175.4,Failed
CVD,Busch,B500,38586.0,Failed
Diffusion,Busch,B1500,17878.4,Running
CVD,Edwards,E1000,2771.4,Running
Etch,Busch,B500,3780.6,Running
Diffusion,Edwards,E3000,44157.7,Running
Etch,Busch,B2500,22448.1,Failed
Etch,Busch,B1500,36028.2,Failed
Etch,Busch,B1500,29655.1,Running
CVD,Busch,B2500,44101.3,Failed
CVD,Edwards,E1000,8518.7,Running
Diffusion,Edwards,E2000,39714.6,Failed
Etch,Busch,B500,2905.0,Running
CVD,Edwards,E2000,20745.6,Failed
CVD,Edwards,E1000,12302.1,Failed
CVD,Edwards,E1000,25349.2,Failed
CVD,Edwards,E1000,6080.8,Failed
Etch,Busch,B1500,37956.2,Failed
Diffusion,Busch,B2500,9348.1,Running
Etch,Busch,B2500,29503.3,Failed
Etch,Busch,B500,11269.7,Failed
Diffusion,Busch,B2500,28506.4,Running
Diffusion,Edwards,E1000,31789.5,Failed
CVD,Edwards,E3000,9266.1,Running
Etch,Busch,B500,4273.4,Running
CVD,Edwards,E1000,21879.7,Failed
CVD,Edwards,E1000,8786.5,Running
CVD,Edwards,E1000,9374.8,Failed
Etch,Busch,B2500,23409.1,Running
CVD,Edwards,E2000,10380.6,Failed
Etch,Edwards,E1000,16020.9,Failed
Etch,Edwards,E3000,30687.8,Failed
Etch,Busch,B1500,12654.1,Running
Etch,Edwards,E2000,22325.9,Failed
Diffusion,Busch,B1500,26846.2,Failed
CVD,Busch,B2500,38647.8,Running
Etch,Busch,B1500,20442.3,Failed
Diffusion,Busch,B1500,14882.1,Running
CVD,Edwards,E2000,13016.4,Failed
Etch,Busch,B1500,31563.0,Failed
Etch,Busch,B500,25044.6,Failed
Diffusion,Busch,B1500,10984.8,Failed
Etch,Busch,B1500,23013.7,Failed
Diffusion,Busch,B2500,35146.5,Failed
Etch,Busch,B1500,22285.4,Running
Etch,Edwards,E1000,10691.3,Failed
Etch,Edwards,E1000,11987.8,Failed
Etch,Busch,B500,20725.2,Failed
Etch,Edwards,E2000,7382.1,Running
Diffusion,Edwards,E3000,40080.3,Running
Etch,Busch,B500,4282.7,Failed
Diffusion,Edwards,E2000,18256.6,Running
Etch,Busch,B1500,5302.0,Running
Diffusion,Edwards,E3000,14803.6,Failed
CVD,Edwards,E1000,4801.9,Failed
CVD,Edwards,E1000,20037.4,Failed
CVD,Busch,B1500,10094.1,Failed
Diffusion,Edwards,E1000,15658.2,Running
Etch,Busch,B2500,31601.0,Failed
Diffusion,Busch,B500,413.8,Running
Diffusion,Edwards,E1000,20722.7,Running
Etch,Busch,B1500,7331.2,Running
Etch,Busch,B2500,16923.0,Running
CVD,Edwards,E1000,19374.0,Failed
Etch,Busch,B1500,19680.4,Failed
Diffusion,Busch,B2500,10107.1,Running
CVD,Edwards,E1000,4652.9,Failed
Diffusion,Edwards,E3000,51202.7,Running
Etch,Busch,B500,7571.3,Failed
Etch,Busch,B1500,26893.5,Failed
Diffusion,Busch,B2500,16185.3,Failed
Etch,Busch,B1500,37500.9,Failed
Diffusion,Busch,B1500,7218.5,Running
CVD,Edwards,E1000,17920.9,Failed
Etch,Edwards,E1000,15664.5,Failed
Etch,Busch,B1500,21103.7,Running
Diffusion,Edwards,E1000,37634.3,Failed
Etch,Edwards,E2000,30021.0,Running
Diffusion,Edwards,E3000,34358.5,Running
CVD,Edwards,E2000,21755.2,Failed
CVD,Busch,B1500,16818.3,Failed
Diffusion,Edwards,E2000,18165.9,Failed
Diffusion,Edwards,E3000,26189.2,Failed
Diffusion,Edwards,E2000,1133.7,Running
Diffusion,Edwards,E3000,51226.6,Running
Diffusion,Busch,B500,10063.2,Failed
CVD,Edwards,E3000,5092.8,Failed
Diffusion,Edwards,E3000,60052.5,Failed
CVD,Busch,B2500,28605.2,Running
Diffusion,Edwards,E3000,58327.2,Running
Etch,Busch,B2500,20294.9,Failed
Etch,Edwards,E1000,23527.8,Running
Etch,Busch,B2500,40055.8,Failed
Etch,Busch,B1500,8188.1,Failed
Etch,Edwards,E1000,8185.5,Failed
Etch,Busch,B1500,14868.7,Failed
Etch,Edwards,E1000,15042.8,Running
CVD,Edwards,E2000,44149.4,Failed
CVD,Busch,B1500,17558.8,Failed
Diffusion,Edwards,E2000,16007.7,Failed
CVD,Edwards,E1000,12278.1,Failed
Etch,Busch,B1500,7576.4,Running
Etch,Busch,B2500,25750.7,Running
CVD,Edwards,E3000,27509.2,Failed
Etch,Busch,B1500,13266.8,Failed
Diffusion,Edwards,E2000,3199.3,Running
Etch,Edwards,E1000,10383.9,Failed
Etch,Busch,B1500,8066.0,Running
CVD,Edwards,E1000,17104.7,Failed
CVD,Edwards,E1000,4030.2,Running
Diffusion,Busch,B1500,25454.9,Running
Diffusion,Busch,B1500,44851.3,Running
Diffusion,Edwards,E2000,47325.9,Failed
Etch,Busch,B2500,38579.2,Running
Diffusion,Busch,B2500,26575.7,Running
Diffusion,Busch,B2500,42530.1,Running
CVD,Busch,B500,17166.6,Failed
CVD,Edwards,E1000,18544.0,Failed
Etch,Busch,B1500,26574.5,Failed
Diffusion,Edwards,E2000,18186.3,Failed
Diffusion,Edwards,E2000,15555.1,Failed
Etch,Busch,B2500,24880.3,Running
Diffusion,Busch,B500,21.5,Failed
Etch,Busch,B1500,20889.5,Failed
Diffusion,Busch,B2500,35151.2,Failed
Etch,Edwards,E2000,29214.9,Running
Etch,Busch,B2500,23168.7,Failed
Etch,Edwards,E1000,23386.9,Running
Diffusion,Busch,B2500,27878.1,Failed
Etch,Edwards,E1000,9002.2,Failed
Diffusion,Busch,B2500,34548.1,Failed
Diffusion,Busch,B2500,40435.1,Running
CVD,Busch,B500,30198.2,Running
Etch,Edwards,E3000,2419.1,Failed
Diffusion,Edwards,E3000,68761.7,Failed
CVD,Edwards,E1000,15304.3,Failed
CVD,Edwards,E3000,7931.0,Failed
Etch,Busch,B500,6138.1,Running
Etch,Edwards,E3000,7887.1,Failed
Diffusion,Busch,B2500,22987.0,Failed
Etch,Busch,B500,4330.0,Failed
Etch,Edwards,E3000,17725.2,Running
Etch,Busch,B500,6465.2,Failed
Etch,Busch,B2500,30730.4,Running
Etch,Edwards,E2000,23684.3,Failed
Diffusion,Busch,B2500,42127.8,Failed
Diffusion,Busch,B2500,23435.4,Failed
CVD,Edwards,E2000,8627.7,Failed
Diffusion,Edwards,E2000,9758.9,Failed
Etch,Busch,B2500,42149.0,Running
CVD,Busch,B2500,32957.1,Running
CVD,Edwards,E2000,15346.4,Failed
Etch,Edwards,E2000,23846.0,Failed
Etch,Edwards,E1000,38386.3,Running
Etch,Busch,B1500,13307.4,Failed
CVD,Busch,B500,64960.8,Failed
Diffusion,Edwards,E2000,25621.9,Failed
Etch,Busch,B500,16351.5,Running
CVD,Edwards,E1000,15515.7,Failed
Etch,Edwards,E2000,26905.6,Running
CVD,Edwards,E2000,18749.5,Failed
CVD,Busch,B2500,60010.1,Running
Etch,Edwards,E1000,14031.9,Failed
Etch,Edwards,E1000,18809.8,Failed
CVD,Edwards,E3000,18050.2,Failed
Diffusion,Edwards,E2000,8185.9,Failed
Etch,Busch,B1500,25417.3,Running
Etch,Busch,B2500,23501.0,Failed
Etch,Busch,B2500,17750.2,Running
CVD,Busch,B2500,41202.2,Failed
Etch,Edwards,E2000,3851.3,Running
Diffusion,Busch,B2500,17758.6,Failed
CVD,Edwards,E1000,17872.8,Failed
Etch,Busch,B1500,15395.4,Running
Diffusion,Busch,B2500,29387.2,Failed
Etch,Busch,B500,13752.0,Failed
Diffusion,Busch,B2500,22474.5,Failed
CVD,Edwards,E1000,11125.3,Failed
CVD,Edwards,E1000,9666.7,Failed
Diffusion,Edwards,E3000,60704.4,Running
Etch,Busch,B1500,6984.7,Running
Diffusion,Edwards,E3000,44103.0,Running
Etch,Edwards,E2000,29909.3,Failed
CVD,Busch,B1500,16276.2,Running
Etch,Busch,B1500,28982.8,Running
CVD,Edwards,E3000,5717.3,Running
CVD,Edwards,E1000,11512.9,Failed
Etch,Busch,B2500,14905.5,Failed
Etch,Busch,B1500,23190.1,Running
CVD,Edwards,E3000,19086.7,Failed
